Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2024-08-01T00:00Z,145,126,moderate
2024-08-01T00:30Z,148,151,moderate
2024-08-01T01:00Z,143,142,moderate
2024-08-01T01:30Z,142,149,moderate
2024-08-01T02:00Z,143,143,moderate
2024-08-01T02:30Z,144,142,moderate
2024-08-01T03:00Z,146,146,moderate
2024-08-01T03:30Z,143,149,moderate
2024-08-01T04:00Z,148,148,moderate
2024-08-01T04:30Z,158,149,moderate
2024-08-01T05:00Z,171,156,moderate
2024-08-01T05:30Z,179,173,moderate
2024-08-01T06:00Z,186,182,moderate
2024-08-01T06:30Z,181,185,moderate
2024-08-01T07:00Z,171,191,moderate
2024-08-01T07:30Z,169,191,moderate
2024-08-01T08:00Z,169,174,moderate
2024-08-01T08:30Z,167,167,moderate
2024-08-01T09:00Z,168,159,moderate
2024-08-01T09:30Z,165,152,moderate
2024-08-01T10:00Z,158,150,moderate
2024-08-01T10:30Z,155,165,moderate
2024-08-01T11:00Z,153,161,moderate
2024-08-01T11:30Z,147,144,moderate
2024-08-01T12:00Z,143,155,moderate
2024-08-01T12:30Z,142,150,moderate
2024-08-01T13:00Z,141,143,moderate
2024-08-01T13:30Z,142,143,moderate
2024-08-01T14:00Z,142,142,moderate
2024-08-01T14:30Z,145,142,moderate
2024-08-01T15:00Z,153,148,moderate
2024-08-01T15:30Z,162,155,moderate
2024-08-01T16:00Z,172,166,moderate
2024-08-01T16:30Z,178,176,moderate
2024-08-01T17:00Z,181,183,moderate
2024-08-01T17:30Z,187,195,moderate
2024-08-01T18:00Z,193,193,high
2024-08-01T18:30Z,197,197,high
2024-08-01T19:00Z,200,203,high
2024-08-01T19:30Z,205,205,high
2024-08-01T20:00Z,210,210,high
2024-08-01T20:30Z,206,212,high
2024-08-01T21:00Z,210,213,high
2024-08-01T21:30Z,201,204,high
2024-08-01T22:00Z,175,207,moderate
2024-08-01T22:30Z,166,194,moderate
2024-08-01T23:00Z,159,167,moderate
2024-08-01T23:30Z,152,160,moderate
2024-08-02T00:00Z,147,157,moderate
2024-08-02T00:30Z,143,157,moderate
2024-08-02T01:00Z,141,148,moderate
2024-08-02T01:30Z,139,150,moderate
2024-08-02T02:00Z,138,147,moderate
2024-08-02T02:30Z,136,145,moderate
2024-08-02T03:00Z,143,139,moderate
2024-08-02T03:30Z,142,142,moderate
2024-08-02T04:00Z,144,142,moderate
2024-08-02T04:30Z,145,147,moderate
2024-08-02T05:00Z,136,145,moderate
2024-08-02T05:30Z,134,143,moderate
2024-08-02T06:00Z,127,137,moderate
2024-08-02T06:30Z,121,130,moderate
2024-08-02T07:00Z,120,123,moderate
2024-08-02T07:30Z,116,111,moderate
2024-08-02T08:00Z,93,110,low
2024-08-02T08:30Z,79,108,low
2024-08-02T09:00Z,62,85,low
2024-08-02T09:30Z,52,73,low
2024-08-02T10:00Z,49,61,low
2024-08-02T10:30Z,47,79,low
2024-08-02T11:00Z,49,48,low
2024-08-02T11:30Z,49,45,low
2024-08-02T12:00Z,48,45,low
2024-08-02T12:30Z,47,51,low
2024-08-02T13:00Z,46,48,low
2024-08-02T13:30Z,47,54,low
2024-08-02T14:00Z,49,48,low
2024-08-02T14:30Z,50,50,low
2024-08-02T15:00Z,53,54,low
2024-08-02T15:30Z,62,55,low
2024-08-02T16:00Z,78,59,low
2024-08-02T16:30Z,93,70,low
2024-08-02T17:00Z,115,83,moderate
2024-08-02T17:30Z,124,89,moderate
2024-08-02T18:00Z,130,123,moderate
2024-08-02T18:30Z,136,127,moderate
2024-08-02T19:00Z,137,140,moderate
2024-08-02T19:30Z,140,135,moderate
2024-08-02T20:00Z,136,147,moderate
2024-08-02T20:30Z,135,140,moderate
2024-08-02T21:00Z,140,136,moderate
2024-08-02T21:30Z,134,126,moderate
2024-08-02T22:00Z,111,137,moderate
2024-08-02T22:30Z,104,129,low
2024-08-02T23:00Z,108,111,low
2024-08-02T23:30Z,110,123,moderate
2024-08-03T00:00Z,112,111,moderate
2024-08-03T00:30Z,113,108,moderate
2024-08-03T01:00Z,111,115,moderate
2024-08-03T01:30Z,105,113,low
2024-08-03T02:00Z,100,115,low
2024-08-03T02:30Z,106,105,low
2024-08-03T03:00Z,105,105,low
2024-08-03T03:30Z,99,104,low
2024-08-03T04:00Z,95,109,low
2024-08-03T04:30Z,95,106,low
2024-08-03T05:00Z,95,96,low
2024-08-03T05:30Z,96,102,low
2024-08-03T06:00Z,99,101,low
2024-08-03T06:30Z,99,103,low
2024-08-03T07:00Z,102,103,low
2024-08-03T07:30Z,99,98,low
2024-08-03T08:00Z,93,108,low
2024-08-03T08:30Z,91,94,low
2024-08-03T09:00Z,86,88,low
2024-08-03T09:30Z,77,84,low
2024-08-03T10:00Z,72,76,low
2024-08-03T10:30Z,66,73,low
2024-08-03T11:00Z,59,72,low
2024-08-03T11:30Z,52,66,low
2024-08-03T12:00Z,49,58,low
2024-08-03T12:30Z,49,52,low
2024-08-03T13:00Z,48,47,low
2024-08-03T13:30Z,48,47,low
2024-08-03T14:00Z,48,49,low
2024-08-03T14:30Z,50,49,low
2024-08-03T15:00Z,52,50,low
2024-08-03T15:30Z,59,52,low
2024-08-03T16:00Z,81,57,low
2024-08-03T16:30Z,95,62,low
2024-08-03T17:00Z,113,92,moderate
2024-08-03T17:30Z,124,105,moderate
2024-08-03T18:00Z,134,122,moderate
2024-08-03T18:30Z,141,136,moderate
2024-08-03T19:00Z,147,145,moderate
2024-08-03T19:30Z,154,145,moderate
2024-08-03T20:00Z,155,156,moderate
2024-08-03T20:30Z,156,153,moderate
2024-08-03T21:00Z,158,151,moderate
2024-08-03T21:30Z,159,154,moderate
2024-08-03T22:00Z,151,150,moderate
2024-08-03T22:30Z,147,153,moderate
2024-08-03T23:00Z,141,145,moderate
2024-08-03T23:30Z,132,143,moderate
2024-08-04T00:00Z,121,137,moderate
2024-08-04T00:30Z,112,132,moderate
2024-08-04T01:00Z,105,125,low
2024-08-04T01:30Z,102,114,low
2024-08-04T02:00Z,101,107,low
2024-08-04T02:30Z,101,105,low
2024-08-04T03:00Z,102,105,low
2024-08-04T03:30Z,103,65,low
2024-08-04T04:00Z,96,106,low
2024-08-04T04:30Z,97,107,low
2024-08-04T05:00Z,96,100,low
2024-08-04T05:30Z,95,99,low
2024-08-04T06:00Z,90,101,low
2024-08-04T06:30Z,89,99,low
2024-08-04T07:00Z,88,93,low
2024-08-04T07:30Z,85,85,low
2024-08-04T08:00Z,76,82,low
2024-08-04T08:30Z,68,77,low
2024-08-04T09:00Z,60,71,low
2024-08-04T09:30Z,56,63,low
2024-08-04T10:00Z,55,54,low
2024-08-04T10:30Z,49,49,low
2024-08-04T11:00Z,43,49,low
2024-08-04T11:30Z,41,48,low
2024-08-04T12:00Z,39,40,low
2024-08-04T12:30Z,34,39,very low
2024-08-04T13:00Z,34,39,very low
2024-08-04T13:30Z,34,34,very low
2024-08-04T14:00Z,35,32,low
2024-08-04T14:30Z,33,34,very low
2024-08-04T15:00Z,33,37,very low
2024-08-04T15:30Z,36,34,low
2024-08-04T16:00Z,42,34,low
2024-08-04T16:30Z,45,35,low
2024-08-04T17:00Z,55,40,low
2024-08-04T17:30Z,58,43,low
2024-08-04T18:00Z,62,50,low
2024-08-04T18:30Z,64,56,low
2024-08-04T19:00Z,71,56,low
2024-08-04T19:30Z,74,58,low
2024-08-04T20:00Z,81,61,low
2024-08-04T20:30Z,82,59,low
2024-08-04T21:00Z,83,66,low
2024-08-04T21:30Z,80,70,low
2024-08-04T22:00Z,70,69,low
2024-08-04T22:30Z,63,68,low
2024-08-04T23:00Z,61,64,low
2024-08-04T23:30Z,59,65,low
2024-08-05T00:00Z,60,63,low
2024-08-05T00:30Z,60,57,low
2024-08-05T01:00Z,58,57,low
2024-08-05T01:30Z,59,59,low
2024-08-05T02:00Z,60,54,low
2024-08-05T02:30Z,61,60,low
2024-08-05T03:00Z,65,58,low
2024-08-05T03:30Z,65,58,low
2024-08-05T04:00Z,65,57,low
2024-08-05T04:30Z,66,58,low
2024-08-05T05:00Z,62,64,low
2024-08-05T05:30Z,60,60,low
2024-08-05T06:00Z,58,59,low
2024-08-05T06:30Z,60,58,low
2024-08-05T07:00Z,60,52,low
2024-08-05T07:30Z,57,55,low
2024-08-05T08:00Z,56,55,low
2024-08-05T08:30Z,56,54,low
2024-08-05T09:00Z,53,51,low
2024-08-05T09:30Z,47,54,low
2024-08-05T10:00Z,48,50,low
2024-08-05T10:30Z,48,46,low
2024-08-05T11:00Z,49,46,low
2024-08-05T11:30Z,47,46,low
2024-08-05T12:00Z,46,46,low
2024-08-05T12:30Z,46,46,low
2024-08-05T13:00Z,47,49,low
2024-08-05T13:30Z,49,51,low
2024-08-05T14:00Z,52,49,low
2024-08-05T14:30Z,57,49,low
2024-08-05T15:00Z,64,51,low
2024-08-05T15:30Z,73,54,low
2024-08-05T16:00Z,88,65,low
2024-08-05T16:30Z,103,71,low
2024-08-05T17:00Z,120,87,moderate
2024-08-05T17:30Z,119,92,moderate
2024-08-05T18:00Z,120,132,moderate
2024-08-05T18:30Z,122,128,moderate
2024-08-05T19:00Z,127,129,moderate
2024-08-05T19:30Z,129,131,moderate
2024-08-05T20:00Z,132,127,moderate
2024-08-05T20:30Z,132,112,moderate
2024-08-05T21:00Z,126,118,moderate
2024-08-05T21:30Z,111,123,moderate
2024-08-05T22:00Z,65,126,low
2024-08-05T22:30Z,59,109,low
2024-08-05T23:00Z,58,70,low
2024-08-05T23:30Z,56,69,low
2024-08-06T00:00Z,56,70,low
2024-08-06T00:30Z,59,60,low
2024-08-06T01:00Z,61,60,low
2024-08-06T01:30Z,61,61,low
2024-08-06T02:00Z,61,60,low
2024-08-06T02:30Z,63,62,low
2024-08-06T03:00Z,63,60,low
2024-08-06T03:30Z,62,58,low
2024-08-06T04:00Z,68,65,low
2024-08-06T04:30Z,80,62,low
2024-08-06T05:00Z,96,69,low
2024-08-06T05:30Z,110,86,moderate
2024-08-06T06:00Z,118,100,moderate
2024-08-06T06:30Z,120,111,moderate
2024-08-06T07:00Z,118,120,moderate
2024-08-06T07:30Z,119,131,moderate
2024-08-06T08:00Z,120,120,moderate
2024-08-06T08:30Z,116,112,moderate
2024-08-06T09:00Z,109,113,low
2024-08-06T09:30Z,102,101,low
2024-08-06T10:00Z,96,92,low
2024-08-06T10:30Z,92,98,low
2024-08-06T11:00Z,87,87,low
2024-08-06T11:30Z,84,85,low
2024-08-06T12:00Z,81,81,low
2024-08-06T12:30Z,78,78,low
2024-08-06T13:00Z,73,75,low
2024-08-06T13:30Z,69,72,low
2024-08-06T14:00Z,60,67,low
2024-08-06T14:30Z,60,57,low
2024-08-06T15:00Z,61,55,low
2024-08-06T15:30Z,63,53,low
2024-08-06T16:00Z,73,58,low
2024-08-06T16:30Z,84,62,low
2024-08-06T17:00Z,96,77,low
2024-08-06T17:30Z,105,87,low
2024-08-06T18:00Z,108,101,low
