Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2024-09-01T00:00Z,66,60,low
2024-09-01T00:30Z,69,60,low
2024-09-01T01:00Z,74,65,low
2024-09-01T01:30Z,75,67,low
2024-09-01T02:00Z,73,76,low
2024-09-01T02:30Z,73,74,low
2024-09-01T03:00Z,74,75,low
2024-09-01T03:30Z,66,72,low
2024-09-01T04:00Z,64,72,low
2024-09-01T04:30Z,62,66,low
2024-09-01T05:00Z,60,64,low
2024-09-01T05:30Z,61,61,low
2024-09-01T06:00Z,61,59,low
2024-09-01T06:30Z,59,58,low
2024-09-01T07:00Z,54,60,low
2024-09-01T07:30Z,51,56,low
2024-09-01T08:00Z,45,50,low
2024-09-01T08:30Z,44,47,low
2024-09-01T09:00Z,46,42,low
2024-09-01T09:30Z,45,40,low
2024-09-01T10:00Z,50,40,low
2024-09-01T10:30Z,48,39,low
2024-09-01T11:00Z,47,40,low
2024-09-01T11:30Z,45,38,low
2024-09-01T12:00Z,46,37,low
2024-09-01T12:30Z,47,35,low
2024-09-01T13:00Z,51,39,low
2024-09-01T13:30Z,52,36,low
2024-09-01T14:00Z,56,39,low
2024-09-01T14:30Z,64,41,low
2024-09-01T15:00Z,77,43,low
2024-09-01T15:30Z,95,54,low
2024-09-01T16:00Z,109,68,low
2024-09-01T16:30Z,119,84,moderate
2024-09-01T17:00Z,127,105,moderate
2024-09-01T17:30Z,139,118,moderate
2024-09-01T18:00Z,140,131,moderate
2024-09-01T18:30Z,143,135,moderate
2024-09-01T19:00Z,142,140,moderate
2024-09-01T19:30Z,142,133,moderate
2024-09-01T20:00Z,147,139,moderate
2024-09-01T20:30Z,151,129,moderate
2024-09-01T21:00Z,147,137,moderate
2024-09-01T21:30Z,134,146,moderate
2024-09-01T22:00Z,129,146,moderate
2024-09-01T22:30Z,130,136,moderate
2024-09-01T23:00Z,126,120,moderate
2024-09-01T23:30Z,125,116,moderate
2024-09-02T00:00Z,125,122,moderate
2024-09-02T00:30Z,120,126,moderate
2024-09-02T01:00Z,118,129,moderate
2024-09-02T01:30Z,121,116,moderate
2024-09-02T02:00Z,117,114,moderate
2024-09-02T02:30Z,121,119,moderate
2024-09-02T03:00Z,136,114,moderate
2024-09-02T03:30Z,142,118,moderate
2024-09-02T04:00Z,167,132,moderate
2024-09-02T04:30Z,182,138,moderate
2024-09-02T05:00Z,206,160,high
2024-09-02T05:30Z,211,173,high
2024-09-02T06:00Z,212,195,high
2024-09-02T06:30Z,217,209,high
2024-09-02T07:00Z,196,203,high
2024-09-02T07:30Z,197,206,high
2024-09-02T08:00Z,198,186,high
2024-09-02T08:30Z,195,187,high
2024-09-02T09:00Z,194,192,high
2024-09-02T09:30Z,193,194,high
2024-09-02T10:00Z,192,188,high
2024-09-02T10:30Z,192,185,high
2024-09-02T11:00Z,187,181,moderate
2024-09-02T11:30Z,183,188,moderate
2024-09-02T12:00Z,179,181,moderate
2024-09-02T12:30Z,173,177,moderate
2024-09-02T13:00Z,169,169,moderate
2024-09-02T13:30Z,164,179,moderate
2024-09-02T14:00Z,158,157,moderate
2024-09-02T14:30Z,157,155,moderate
2024-09-02T15:00Z,169,144,moderate
2024-09-02T15:30Z,166,155,moderate
2024-09-02T16:00Z,171,167,moderate
2024-09-02T16:30Z,175,165,moderate
2024-09-02T17:00Z,184,170,moderate
2024-09-02T17:30Z,182,169,moderate
2024-09-02T18:00Z,180,176,moderate
2024-09-02T18:30Z,181,182,moderate
2024-09-02T19:00Z,183,172,moderate
2024-09-02T19:30Z,183,173,moderate
2024-09-02T20:00Z,177,174,moderate
2024-09-02T20:30Z,172,171,moderate
2024-09-02T21:00Z,173,168,moderate
2024-09-02T21:30Z,174,160,moderate
2024-09-02T22:00Z,171,162,moderate
2024-09-02T22:30Z,170,175,moderate
