Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2024-12-01T00:00Z,90,83,low
2024-12-01T00:30Z,90,89,low
2024-12-01T01:00Z,90,86,low
2024-12-01T01:30Z,84,85,low
2024-12-01T02:00Z,76,82,low
2024-12-01T02:30Z,75,84,low
2024-12-01T03:00Z,78,76,low
2024-12-01T03:30Z,73,70,low
2024-12-01T04:00Z,73,78,low
2024-12-01T04:30Z,69,71,low
2024-12-01T05:00Z,64,69,low
2024-12-01T05:30Z,64,72,low
2024-12-01T06:00Z,72,64,low
2024-12-01T06:30Z,78,67,low
2024-12-01T07:00Z,73,72,low
2024-12-01T07:30Z,77,74,low
2024-12-01T08:00Z,77,71,low
2024-12-01T08:30Z,84,67,low
2024-12-01T09:00Z,92,76,low
2024-12-01T09:30Z,100,87,low
2024-12-01T10:00Z,100,96,low
2024-12-01T10:30Z,99,101,low
2024-12-01T11:00Z,100,103,low
2024-12-01T11:30Z,99,99,low
2024-12-01T12:00Z,102,90,low
2024-12-01T12:30Z,106,97,low
2024-12-01T13:00Z,104,100,low
2024-12-01T13:30Z,113,92,moderate
2024-12-01T14:00Z,109,104,low
2024-12-01T14:30Z,110,115,moderate
2024-12-01T15:00Z,126,111,moderate
2024-12-01T15:30Z,134,113,moderate
2024-12-01T16:00Z,138,143,moderate
2024-12-01T16:30Z,140,149,moderate
2024-12-01T17:00Z,143,146,moderate
2024-12-01T17:30Z,142,140,moderate
2024-12-01T18:00Z,138,139,moderate
2024-12-01T18:30Z,135,141,moderate
2024-12-01T19:00Z,139,131,moderate
2024-12-01T19:30Z,134,123,moderate
2024-12-01T20:00Z,122,136,moderate
2024-12-01T20:30Z,109,119,low
2024-12-01T21:00Z,100,115,low
2024-12-01T21:30Z,89,98,low
2024-12-01T22:00Z,81,84,low
2024-12-01T22:30Z,78,86,low
2024-12-01T23:00Z,79,80,low
2024-12-01T23:30Z,79,74,low
2024-12-02T00:00Z,79,75,low
2024-12-02T00:30Z,81,75,low
2024-12-02T01:00Z,86,77,low
2024-12-02T01:30Z,88,73,low
2024-12-02T02:00Z,91,75,low
2024-12-02T02:30Z,89,81,low
2024-12-02T03:00Z,84,77,low
2024-12-02T03:30Z,82,75,low
2024-12-02T04:00Z,87,70,low
2024-12-02T04:30Z,77,70,low
2024-12-02T05:00Z,72,70,low
2024-12-02T05:30Z,81,72,low
2024-12-02T06:00Z,110,79,moderate
2024-12-02T06:30Z,132,86,moderate
2024-12-02T07:00Z,150,97,moderate
2024-12-02T07:30Z,149,109,moderate
2024-12-02T08:00Z,149,148,moderate
2024-12-02T08:30Z,153,149,moderate
2024-12-02T09:00Z,157,163,moderate
2024-12-02T09:30Z,157,176,moderate
2024-12-02T10:00Z,155,156,moderate
2024-12-02T10:30Z,158,155,moderate
2024-12-02T11:00Z,156,151,moderate
2024-12-02T11:30Z,154,158,moderate
2024-12-02T12:00Z,154,157,moderate
2024-12-02T12:30Z,154,153,moderate
2024-12-02T13:00Z,153,148,moderate
2024-12-02T13:30Z,160,148,moderate
2024-12-02T14:00Z,164,154,moderate
2024-12-02T14:30Z,162,158,moderate
2024-12-02T15:00Z,158,168,moderate
2024-12-02T15:30Z,159,169,moderate
2024-12-02T16:00Z,163,162,moderate
2024-12-02T16:30Z,167,162,moderate
2024-12-02T17:00Z,173,163,moderate
2024-12-02T17:30Z,175,167,moderate
2024-12-02T18:00Z,175,170,moderate
2024-12-02T18:30Z,176,172,moderate
2024-12-02T19:00Z,176,177,moderate
2024-12-02T19:30Z,181,183,moderate
2024-12-02T20:00Z,180,180,moderate
2024-12-02T20:30Z,176,182,moderate
2024-12-02T21:00Z,168,180,moderate
2024-12-02T21:30Z,164,175,moderate
2024-12-02T22:00Z,164,163,moderate
2024-12-02T22:30Z,158,154,moderate
2024-12-02T23:00Z,138,137,moderate
2024-12-02T23:30Z,140,126,moderate
2024-12-03T00:00Z,143,127,moderate
