Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2024-03-01T00:00Z,155,172,moderate
2024-03-01T00:30Z,157,174,moderate
2024-03-01T01:00Z,161,150,moderate
2024-03-01T01:30Z,157,152,moderate
2024-03-01T02:00Z,155,154,moderate
2024-03-01T02:30Z,143,146,moderate
2024-03-01T03:00Z,128,144,moderate
2024-03-01T03:30Z,121,134,moderate
2024-03-01T04:00Z,117,125,moderate
2024-03-01T04:30Z,114,109,moderate
2024-03-01T05:00Z,127,118,moderate
2024-03-01T05:30Z,135,112,moderate
2024-03-01T06:00Z,151,140,moderate
2024-03-01T06:30Z,155,142,moderate
2024-03-01T07:00Z,154,158,moderate
2024-03-01T07:30Z,153,161,moderate
2024-03-01T08:00Z,152,156,moderate
2024-03-01T08:30Z,147,152,moderate
2024-03-01T09:00Z,141,152,moderate
2024-03-01T09:30Z,139,143,moderate
2024-03-01T10:00Z,135,137,moderate
2024-03-01T10:30Z,132,134,moderate
2024-03-01T11:00Z,124,134,moderate
2024-03-01T11:30Z,118,133,moderate
2024-03-01T12:00Z,115,133,moderate
2024-03-01T12:30Z,113,134,moderate
2024-03-01T13:00Z,112,115,moderate
2024-03-01T13:30Z,109,109,low
2024-03-01T14:00Z,112,103,moderate
2024-03-01T14:30Z,118,106,moderate
2024-03-01T15:00Z,129,111,moderate
2024-03-01T15:30Z,138,121,moderate
2024-03-01T16:00Z,147,133,moderate
2024-03-01T16:30Z,151,146,moderate
2024-03-01T17:00Z,153,157,moderate
2024-03-01T17:30Z,163,159,moderate
2024-03-01T18:00Z,171,161,moderate
2024-03-01T18:30Z,171,163,moderate
2024-03-01T19:00Z,171,168,moderate
2024-03-01T19:30Z,174,172,moderate
2024-03-01T20:00Z,174,170,moderate
2024-03-01T20:30Z,173,174,moderate
2024-03-01T21:00Z,161,173,moderate
2024-03-01T21:30Z,156,172,moderate
2024-03-01T22:00Z,157,166,moderate
2024-03-01T22:30Z,144,159,moderate
2024-03-01T23:00Z,130,152,moderate
