Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2024-06-01T00:00Z,65,70,low
2024-06-01T00:30Z,67,73,low
2024-06-01T01:00Z,68,76,low
2024-06-01T01:30Z,66,73,low
2024-06-01T02:00Z,64,72,low
2024-06-01T02:30Z,63,83,low
2024-06-01T03:00Z,66,86,low
2024-06-01T03:30Z,65,80,low
2024-06-01T04:00Z,63,79,low
2024-06-01T04:30Z,62,71,low
2024-06-01T05:00Z,62,75,low
2024-06-01T05:30Z,61,66,low
2024-06-01T06:00Z,55,67,low
2024-06-01T06:30Z,53,65,low
2024-06-01T07:00Z,51,64,low
2024-06-01T07:30Z,49,47,low
2024-06-01T08:00Z,47,36,low
2024-06-01T08:30Z,47,43,low
2024-06-01T09:00Z,48,38,low
2024-06-01T09:30Z,50,43,low
2024-06-01T10:00Z,60,34,low
2024-06-01T10:30Z,59,36,low
2024-06-01T11:00Z,52,31,low
2024-06-01T11:30Z,50,48,low
2024-06-01T12:00Z,49,48,low
2024-06-01T12:30Z,48,55,low
2024-06-01T13:00Z,44,56,low
2024-06-01T13:30Z,44,54,low
2024-06-01T14:00Z,48,58,low
2024-06-01T14:30Z,50,52,low
2024-06-01T15:00Z,52,55,low
2024-06-01T15:30Z,53,57,low
2024-06-01T16:00Z,54,58,low
2024-06-01T16:30Z,58,56,low
2024-06-01T17:00Z,61,60,low
2024-06-01T17:30Z,65,60,low
2024-06-01T18:00Z,66,63,low
2024-06-01T18:30Z,68,68,low
2024-06-01T19:00Z,73,74,low
2024-06-01T19:30Z,78,73,low
2024-06-01T20:00Z,86,75,low
2024-06-01T20:30Z,90,75,low
2024-06-01T21:00Z,91,75,low
2024-06-01T21:30Z,93,85,low
2024-06-01T22:00Z,89,85,low
2024-06-01T22:30Z,78,95,low
2024-06-01T23:00Z,75,99,low
2024-06-01T23:30Z,76,85,low
2024-06-02T00:00Z,81,82,low
2024-06-02T00:30Z,82,72,low
2024-06-02T01:00Z,93,69,low
2024-06-02T01:30Z,90,75,low
2024-06-02T02:00Z,85,77,low
2024-06-02T02:30Z,76,88,low
2024-06-02T03:00Z,81,88,low
2024-06-02T03:30Z,79,84,low
2024-06-02T04:00Z,78,89,low
2024-06-02T04:30Z,79,82,low
2024-06-02T05:00Z,81,80,low
2024-06-02T05:30Z,83,76,low
2024-06-02T06:00Z,72,77,low
2024-06-02T06:30Z,72,79,low
2024-06-02T07:00Z,76,73,low
2024-06-02T07:30Z,74,56,low
2024-06-02T08:00Z,69,53,low
2024-06-02T08:30Z,63,60,low
2024-06-02T09:00Z,55,54,low
2024-06-02T09:30Z,51,52,low
2024-06-02T10:00Z,52,48,low
2024-06-02T10:30Z,51,46,low
2024-06-02T11:00Z,46,42,low
2024-06-02T11:30Z,45,42,low
2024-06-02T12:00Z,44,41,low
2024-06-02T12:30Z,44,40,low
2024-06-02T13:00Z,44,40,low
2024-06-02T13:30Z,44,38,low
2024-06-02T14:00Z,44,41,low
2024-06-02T14:30Z,46,44,low
2024-06-02T15:00Z,53,48,low
2024-06-02T15:30Z,59,45,low
2024-06-02T16:00Z,69,48,low
2024-06-02T16:30Z,83,55,low
2024-06-02T17:00Z,93,58,low
2024-06-02T17:30Z,105,69,low
2024-06-02T18:00Z,109,75,low
2024-06-02T18:30Z,116,104,moderate
2024-06-02T19:00Z,119,107,moderate
2024-06-02T19:30Z,120,99,moderate
2024-06-02T20:00Z,122,104,moderate
2024-06-02T20:30Z,122,121,moderate
2024-06-02T21:00Z,121,125,moderate
2024-06-02T21:30Z,118,122,moderate
2024-06-02T22:00Z,107,118,low
2024-06-02T22:30Z,93,114,low
2024-06-02T23:00Z,90,108,low
2024-06-02T23:30Z,86,106,low
2024-06-03T00:00Z,99,105,low
2024-06-03T00:30Z,94,90,low
2024-06-03T01:00Z,95,88,low
2024-06-03T01:30Z,93,98,low
2024-06-03T02:00Z,86,92,low
2024-06-03T02:30Z,86,90,low
2024-06-03T03:00Z,90,92,low
2024-06-03T03:30Z,94,91,low
2024-06-03T04:00Z,99,90,low
2024-06-03T04:30Z,102,88,low
2024-06-03T05:00Z,106,77,low
2024-06-03T05:30Z,119,99,moderate
2024-06-03T06:00Z,125,100,moderate
2024-06-03T06:30Z,132,105,moderate
2024-06-03T07:00Z,131,126,moderate
2024-06-03T07:30Z,130,129,moderate
2024-06-03T08:00Z,131,123,moderate
2024-06-03T08:30Z,135,115,moderate
2024-06-03T09:00Z,132,113,moderate
2024-06-03T09:30Z,127,103,moderate
2024-06-03T10:00Z,126,106,moderate
2024-06-03T10:30Z,128,117,moderate
2024-06-03T11:00Z,127,119,moderate
2024-06-03T11:30Z,127,116,moderate
2024-06-03T12:00Z,127,118,moderate
2024-06-03T12:30Z,125,120,moderate
2024-06-03T13:00Z,122,117,moderate
2024-06-03T13:30Z,119,118,moderate
2024-06-03T14:00Z,119,116,moderate
2024-06-03T14:30Z,120,120,moderate
2024-06-03T15:00Z,126,125,moderate
2024-06-03T15:30Z,133,123,moderate
2024-06-03T16:00Z,139,124,moderate
2024-06-03T16:30Z,151,140,moderate
2024-06-03T17:00Z,159,156,moderate
2024-06-03T17:30Z,164,154,moderate
2024-06-03T18:00Z,167,159,moderate
2024-06-03T18:30Z,169,167,moderate
2024-06-03T19:00Z,174,165,moderate
2024-06-03T19:30Z,172,166,moderate
2024-06-03T20:00Z,169,174,moderate
2024-06-03T20:30Z,166,171,moderate
2024-06-03T21:00Z,155,166,moderate
2024-06-03T21:30Z,147,160,moderate
2024-06-03T22:00Z,123,144,moderate
2024-06-03T22:30Z,106,138,low
2024-06-03T23:00Z,102,136,low
2024-06-03T23:30Z,96,118,low
2024-06-04T00:00Z,93,102,low
2024-06-04T00:30Z,91,104,low
2024-06-04T01:00Z,91,97,low
2024-06-04T01:30Z,81,89,low
2024-06-04T02:00Z,78,87,low
2024-06-04T02:30Z,79,89,low
2024-06-04T03:00Z,88,79,low
2024-06-04T03:30Z,91,75,low
2024-06-04T04:00Z,93,77,low
2024-06-04T04:30Z,97,89,low
2024-06-04T05:00Z,96,76,low
2024-06-04T05:30Z,100,86,low
2024-06-04T06:00Z,103,89,low
2024-06-04T06:30Z,101,89,low
2024-06-04T07:00Z,95,93,low
2024-06-04T07:30Z,91,89,low
2024-06-04T08:00Z,79,85,low
2024-06-04T08:30Z,70,89,low
2024-06-04T09:00Z,65,86,low
2024-06-04T09:30Z,59,80,low
2024-06-04T10:00Z,50,244,low
2024-06-04T10:30Z,46,65,low
2024-06-04T11:00Z,45,57,low
2024-06-04T11:30Z,42,49,low
2024-06-04T12:00Z,35,48,low
2024-06-04T12:30Z,14,45,very low
2024-06-04T13:00Z,27,42,very low
2024-06-04T13:30Z,34,36,very low
2024-06-04T14:00Z,37,21,low
2024-06-04T14:30Z,39,31,low
2024-06-04T15:00Z,40,37,low
2024-06-04T15:30Z,44,41,low
2024-06-04T16:00Z,44,42,low
2024-06-04T16:30Z,47,42,low
2024-06-04T17:00Z,55,43,low
2024-06-04T17:30Z,57,46,low
2024-06-04T18:00Z,57,50,low
2024-06-04T18:30Z,65,53,low
2024-06-04T19:00Z,62,61,low
2024-06-04T19:30Z,61,60,low
2024-06-04T20:00Z,59,65,low
2024-06-04T20:30Z,58,62,low
2024-06-04T21:00Z,63,61,low
2024-06-04T21:30Z,48,55,low
2024-06-04T22:00Z,44,54,low
2024-06-04T22:30Z,43,56,low
2024-06-04T23:00Z,46,42,low
2024-06-04T23:30Z,57,46,low
2024-06-05T00:00Z,61,49,low
2024-06-05T00:30Z,54,55,low
2024-06-05T01:00Z,50,63,low
