Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2024-01-01T00:00Z,63,68,low
2024-01-01T00:30Z,64,64,low
2024-01-01T01:00Z,64,62,low
2024-01-01T01:30Z,62,65,low
2024-01-01T02:00Z,71,61,low
2024-01-01T02:30Z,66,61,low
2024-01-01T03:00Z,67,67,low
2024-01-01T03:30Z,64,63,low
2024-01-01T04:00Z,60,64,low
2024-01-01T04:30Z,57,67,low
2024-01-01T05:00Z,57,60,low
2024-01-01T05:30Z,60,62,low
2024-01-01T06:00Z,59,55,low
2024-01-01T06:30Z,62,58,low
2024-01-01T07:00Z,60,58,low
2024-01-01T07:30Z,60,50,low
2024-01-01T08:00Z,52,60,low
2024-01-01T08:30Z,47,60,low
2024-01-01T09:00Z,46,54,low
2024-01-01T09:30Z,48,39,low
2024-01-01T10:00Z,50,43,low
2024-01-01T10:30Z,54,44,low
2024-01-01T11:00Z,62,47,low
2024-01-01T11:30Z,71,49,low
2024-01-01T12:00Z,82,59,low
2024-01-01T12:30Z,91,78,low
2024-01-01T13:00Z,101,81,low
2024-01-01T13:30Z,110,113,moderate
2024-01-01T14:00Z,113,121,moderate
2024-01-01T14:30Z,116,123,moderate
2024-01-01T15:00Z,110,124,moderate
2024-01-01T15:30Z,115,125,moderate
2024-01-01T16:00Z,115,136,moderate
2024-01-01T16:30Z,115,121,moderate
2024-01-01T17:00Z,113,122,moderate
2024-01-01T17:30Z,108,114,low
2024-01-01T18:00Z,103,104,low
2024-01-01T18:30Z,93,89,low
2024-01-01T19:00Z,82,82,low
2024-01-01T19:30Z,70,77,low
2024-01-01T20:00Z,61,69,low
2024-01-01T20:30Z,50,66,low
2024-01-01T21:00Z,44,60,low
2024-01-01T21:30Z,41,44,low
2024-01-01T22:00Z,42,42,low
2024-01-01T22:30Z,46,40,low
2024-01-01T23:00Z,49,39,low
2024-01-01T23:30Z,50,46,low
2024-01-02T00:00Z,50,40,low
2024-01-02T00:30Z,53,50,low
2024-01-02T01:00Z,57,48,low
2024-01-02T01:30Z,59,52,low
2024-01-02T02:00Z,53,56,low
2024-01-02T02:30Z,53,57,low
2024-01-02T03:00Z,55,50,low
2024-01-02T03:30Z,56,54,low
2024-01-02T04:00Z,57,57,low
2024-01-02T04:30Z,59,56,low
2024-01-02T05:00Z,65,56,low
2024-01-02T05:30Z,66,59,low
2024-01-02T06:00Z,70,66,low
2024-01-02T06:30Z,83,68,low
2024-01-02T07:00Z,96,70,low
2024-01-02T07:30Z,105,84,low
2024-01-02T08:00Z,100,90,low
2024-01-02T08:30Z,111,121,moderate
2024-01-02T09:00Z,117,130,moderate
2024-01-02T09:30Z,127,141,moderate
2024-01-02T10:00Z,135,143,moderate
2024-01-02T10:30Z,139,138,moderate
2024-01-02T11:00Z,149,144,moderate
2024-01-02T11:30Z,143,146,moderate
2024-01-02T12:00Z,148,154,moderate
2024-01-02T12:30Z,152,148,moderate
2024-01-02T13:00Z,152,150,moderate
2024-01-02T13:30Z,154,153,moderate
2024-01-02T14:00Z,153,158,moderate
2024-01-02T14:30Z,150,155,moderate
2024-01-02T15:00Z,145,152,moderate
2024-01-02T15:30Z,144,154,moderate
2024-01-02T16:00Z,143,158,moderate
2024-01-02T16:30Z,140,146,moderate
2024-01-02T17:00Z,138,145,moderate
2024-01-02T17:30Z,136,142,moderate
2024-01-02T18:00Z,130,139,moderate
2024-01-02T18:30Z,127,133,moderate
2024-01-02T19:00Z,124,122,moderate
2024-01-02T19:30Z,118,110,moderate
2024-01-02T20:00Z,108,101,low
2024-01-02T20:30Z,100,105,low
2024-01-02T21:00Z,92,96,low
2024-01-02T21:30Z,82,91,low
2024-01-02T22:00Z,70,89,low
2024-01-02T22:30Z,66,86,low
2024-01-02T23:00Z,70,71,low
2024-01-02T23:30Z,66,65,low
2024-01-03T00:00Z,66,66,low
2024-01-03T00:30Z,67,65,low
2024-01-03T01:00Z,65,66,low
2024-01-03T01:30Z,63,64,low
2024-01-03T02:00Z,67,66,low
2024-01-03T02:30Z,71,67,low
2024-01-03T03:00Z,76,69,low
2024-01-03T03:30Z,73,76,low
2024-01-03T04:00Z,77,80,low
2024-01-03T04:30Z,78,74,low
2024-01-03T05:00Z,78,75,low
2024-01-03T05:30Z,81,79,low
2024-01-03T06:00Z,87,78,low
2024-01-03T06:30Z,105,68,low
2024-01-03T07:00Z,115,105,moderate
2024-01-03T07:30Z,131,135,moderate
2024-01-03T08:00Z,138,136,moderate
2024-01-03T08:30Z,146,118,moderate
2024-01-03T09:00Z,149,147,moderate
2024-01-03T09:30Z,149,150,moderate
2024-01-03T10:00Z,150,147,moderate
2024-01-03T10:30Z,153,153,moderate
2024-01-03T11:00Z,155,149,moderate
2024-01-03T11:30Z,157,152,moderate
2024-01-03T12:00Z,160,157,moderate
2024-01-03T12:30Z,163,155,moderate
2024-01-03T13:00Z,166,155,moderate
2024-01-03T13:30Z,168,159,moderate
2024-01-03T14:00Z,167,166,moderate
2024-01-03T14:30Z,174,166,moderate
2024-01-03T15:00Z,173,173,moderate
2024-01-03T15:30Z,170,176,moderate
2024-01-03T16:00Z,170,177,moderate
2024-01-03T16:30Z,174,173,moderate
2024-01-03T17:00Z,173,172,moderate
2024-01-03T17:30Z,174,174,moderate
2024-01-03T18:00Z,174,174,moderate
2024-01-03T18:30Z,176,177,moderate
2024-01-03T19:00Z,174,179,moderate
2024-01-03T19:30Z,168,180,moderate
2024-01-03T20:00Z,162,161,moderate
2024-01-03T20:30Z,154,150,moderate
2024-01-03T21:00Z,143,146,moderate
2024-01-03T21:30Z,137,139,moderate
2024-01-03T22:00Z,127,132,moderate
2024-01-03T22:30Z,119,103,moderate
2024-01-03T23:00Z,117,103,moderate
2024-01-03T23:30Z,117,104,moderate
2024-01-04T00:00Z,114,96,moderate
2024-01-04T00:30Z,111,94,moderate
2024-01-04T01:00Z,101,107,low
2024-01-04T01:30Z,99,104,low
2024-01-04T02:00Z,98,97,low
2024-01-04T02:30Z,89,97,low
2024-01-04T03:00Z,88,89,low
2024-01-04T03:30Z,91,85,low
2024-01-04T04:00Z,95,81,low
2024-01-04T04:30Z,98,90,low
2024-01-04T05:00Z,96,94,low
2024-01-04T05:30Z,98,101,low
2024-01-04T06:00Z,117,99,moderate
2024-01-04T06:30Z,144,115,moderate
2024-01-04T07:00Z,189,149,moderate
2024-01-04T07:30Z,205,158,high
2024-01-04T08:00Z,207,192,high
2024-01-04T08:30Z,207,168,high
2024-01-04T09:00Z,203,206,high
2024-01-04T09:30Z,204,206,high
2024-01-04T10:00Z,202,209,high
2024-01-04T10:30Z,201,208,high
2024-01-04T11:00Z,199,201,high
2024-01-04T11:30Z,206,204,high
2024-01-04T12:00Z,211,208,high
2024-01-04T12:30Z,214,210,high
2024-01-04T13:00Z,222,212,high
2024-01-04T13:30Z,228,221,high
2024-01-04T14:00Z,236,228,high
2024-01-04T14:30Z,235,234,high
2024-01-04T15:00Z,236,238,high
2024-01-04T15:30Z,237,234,high
2024-01-04T16:00Z,239,235,high
2024-01-04T16:30Z,237,237,high
2024-01-04T17:00Z,240,242,high
2024-01-04T17:30Z,238,235,high
2024-01-04T18:00Z,237,241,high
2024-01-04T18:30Z,234,243,high
2024-01-04T19:00Z,233,245,high
2024-01-04T19:30Z,226,240,high
2024-01-04T20:00Z,220,240,high
2024-01-04T20:30Z,207,232,high
2024-01-04T21:00Z,197,224,high
2024-01-04T21:30Z,187,208,moderate
2024-01-04T22:00Z,184,200,moderate
2024-01-04T22:30Z,172,186,moderate
2024-01-04T23:00Z,152,185,moderate
2024-01-04T23:30Z,146,154,moderate
2024-01-05T00:00Z,141,145,moderate
2024-01-05T00:30Z,142,153,moderate
2024-01-05T01:00Z,143,141,moderate
2024-01-05T01:30Z,140,147,moderate
2024-01-05T02:00Z,147,150,moderate
2024-01-05T02:30Z,138,148,moderate
2024-01-05T03:00Z,135,154,moderate
2024-01-05T03:30Z,131,153,moderate
2024-01-05T04:00Z,131,151,moderate
2024-01-05T04:30Z,128,141,moderate
2024-01-05T05:00Z,124,135,moderate
2024-01-05T05:30Z,126,135,moderate
2024-01-05T06:00Z,150,127,moderate
2024-01-05T06:30Z,169,136,moderate
2024-01-05T07:00Z,195,162,high
2024-01-05T07:30Z,201,171,high
2024-01-05T08:00Z,193,176,high
2024-01-05T08:30Z,195,201,high
2024-01-05T09:00Z,195,198,high
2024-01-05T09:30Z,197,192,high
2024-01-05T10:00Z,196,195,high
2024-01-05T10:30Z,193,198,high
2024-01-05T11:00Z,188,200,moderate
2024-01-05T11:30Z,184,195,moderate
2024-01-05T12:00Z,182,196,moderate
2024-01-05T12:30Z,179,188,moderate
2024-01-05T13:00Z,182,185,moderate
2024-01-05T13:30Z,183,182,moderate
2024-01-05T14:00Z,185,187,moderate
2024-01-05T14:30Z,188,187,moderate
2024-01-05T15:00Z,188,190,moderate
2024-01-05T15:30Z,191,190,high
2024-01-05T16:00Z,188,190,moderate
2024-01-05T16:30Z,188,195,moderate
2024-01-05T17:00Z,190,190,high
2024-01-05T17:30Z,189,190,moderate
2024-01-05T18:00Z,189,192,moderate
2024-01-05T18:30Z,190,192,high
2024-01-05T19:00Z,192,193,high
2024-01-05T19:30Z,188,194,moderate
2024-01-05T20:00Z,185,191,moderate
2024-01-05T20:30Z,182,189,moderate
2024-01-05T21:00Z,171,187,moderate
2024-01-05T21:30Z,166,184,moderate
2024-01-05T22:00Z,165,177,moderate
2024-01-05T22:30Z,161,168,moderate
2024-01-05T23:00Z,142,171,moderate
2024-01-05T23:30Z,129,137,moderate
2024-01-06T00:00Z,123,144,moderate
2024-01-06T00:30Z,124,137,moderate
2024-01-06T01:00Z,122,130,moderate
2024-01-06T01:30Z,117,127,moderate
2024-01-06T02:00Z,116,127,moderate
2024-01-06T02:30Z,114,119,moderate
2024-01-06T03:00Z,116,123,moderate
2024-01-06T03:30Z,115,112,moderate
2024-01-06T04:00Z,117,114,moderate
2024-01-06T04:30Z,120,117,moderate
2024-01-06T05:00Z,129,125,moderate
2024-01-06T05:30Z,132,128,moderate
2024-01-06T06:00Z,136,137,moderate
2024-01-06T06:30Z,142,136,moderate
2024-01-06T07:00Z,165,152,moderate
2024-01-06T07:30Z,177,161,moderate
2024-01-06T08:00Z,186,176,moderate
2024-01-06T08:30Z,195,181,high
2024-01-06T09:00Z,199,191,high
2024-01-06T09:30Z,199,196,high
2024-01-06T10:00Z,196,204,high
2024-01-06T10:30Z,196,199,high
2024-01-06T11:00Z,192,198,high
2024-01-06T11:30Z,191,195,high
2024-01-06T12:00Z,191,196,high
2024-01-06T12:30Z,189,192,moderate
2024-01-06T13:00Z,188,189,moderate
2024-01-06T13:30Z,195,194,high
2024-01-06T14:00Z,202,196,high
2024-01-06T14:30Z,206,198,high
2024-01-06T15:00Z,206,204,high
2024-01-06T15:30Z,210,209,high
2024-01-06T16:00Z,210,215,high
2024-01-06T16:30Z,213,219,high
2024-01-06T17:00Z,211,221,high
2024-01-06T17:30Z,208,216,high
2024-01-06T18:00Z,210,214,high
2024-01-06T18:30Z,213,212,high
2024-01-06T19:00Z,213,211,high
2024-01-06T19:30Z,213,210,high
2024-01-06T20:00Z,212,219,high
2024-01-06T20:30Z,208,211,high
2024-01-06T21:00Z,201,214,high
2024-01-06T21:30Z,197,208,high
2024-01-06T22:00Z,198,204,high
2024-01-06T22:30Z,190,207,high
2024-01-06T23:00Z,173,194,moderate
2024-01-06T23:30Z,161,172,moderate
2024-01-07T00:00Z,155,176,moderate
2024-01-07T00:30Z,162,184,moderate
2024-01-07T01:00Z,153,154,moderate
2024-01-07T01:30Z,151,160,moderate
2024-01-07T02:00Z,148,165,moderate
2024-01-07T02:30Z,150,159,moderate
2024-01-07T03:00Z,150,157,moderate
2024-01-07T03:30Z,144,155,moderate
2024-01-07T04:00Z,142,156,moderate
2024-01-07T04:30Z,144,150,moderate
2024-01-07T05:00Z,146,150,moderate
2024-01-07T05:30Z,142,151,moderate
2024-01-07T06:00Z,149,155,moderate
2024-01-07T06:30Z,155,155,moderate
2024-01-07T07:00Z,170,158,moderate
2024-01-07T07:30Z,172,161,moderate
2024-01-07T08:00Z,181,190,moderate
2024-01-07T08:30Z,194,183,high
2024-01-07T09:00Z,204,195,high
2024-01-07T09:30Z,206,197,high
2024-01-07T10:00Z,201,210,high
2024-01-07T10:30Z,204,214,high
2024-01-07T11:00Z,201,205,high
2024-01-07T11:30Z,203,206,high
2024-01-07T12:00Z,204,208,high
2024-01-07T12:30Z,205,209,high
2024-01-07T13:00Z,215,210,high
2024-01-07T13:30Z,214,212,high
2024-01-07T14:00Z,214,222,high
2024-01-07T14:30Z,222,223,high
2024-01-07T15:00Z,230,222,high
2024-01-07T15:30Z,232,230,high
2024-01-07T16:00Z,233,237,high
2024-01-07T16:30Z,234,251,high
2024-01-07T17:00Z,235,249,high
2024-01-07T17:30Z,234,245,high
2024-01-07T18:00Z,231,243,high
2024-01-07T18:30Z,235,245,high
2024-01-07T19:00Z,239,240,high
2024-01-07T19:30Z,237,239,high
2024-01-07T20:00Z,233,240,high
2024-01-07T20:30Z,226,243,high
2024-01-07T21:00Z,226,230,high
2024-01-07T21:30Z,220,226,high
2024-01-07T22:00Z,221,219,high
2024-01-07T22:30Z,214,213,high
2024-01-07T23:00Z,194,214,high
2024-01-07T23:30Z,188,200,moderate
2024-01-08T00:00Z,184,180,moderate
2024-01-08T00:30Z,187,192,moderate
2024-01-08T01:00Z,180,190,moderate
2024-01-08T01:30Z,173,185,moderate
2024-01-08T02:00Z,171,168,moderate
2024-01-08T02:30Z,162,168,moderate
2024-01-08T03:00Z,163,157,moderate
2024-01-08T03:30Z,162,160,moderate
2024-01-08T04:00Z,168,161,moderate
2024-01-08T04:30Z,169,157,moderate
2024-01-08T05:00Z,193,167,high
2024-01-08T05:30Z,207,168,high
2024-01-08T06:00Z,241,209,high
2024-01-08T06:30Z,253,235,high
2024-01-08T07:00Z,258,244,high
2024-01-08T07:30Z,257,254,high
2024-01-08T08:00Z,255,254,high
2024-01-08T08:30Z,252,254,high
2024-01-08T09:00Z,244,252,high
2024-01-08T09:30Z,243,249,high
2024-01-08T10:00Z,247,240,high
2024-01-08T10:30Z,244,239,high
2024-01-08T11:00Z,243,237,high
2024-01-08T11:30Z,241,241,high
2024-01-08T12:00Z,239,237,high
2024-01-08T12:30Z,238,238,high
2024-01-08T13:00Z,238,235,high
2024-01-08T13:30Z,240,235,high
2024-01-08T14:00Z,243,232,high
2024-01-08T14:30Z,244,235,high
2024-01-08T15:00Z,244,235,high
2024-01-08T15:30Z,241,239,high
2024-01-08T16:00Z,234,238,high
2024-01-08T16:30Z,238,241,high
2024-01-08T17:00Z,231,235,high
2024-01-08T17:30Z,223,238,high
2024-01-08T18:00Z,224,230,high
2024-01-08T18:30Z,227,219,high
2024-01-08T19:00Z,228,218,high
2024-01-08T19:30Z,226,218,high
2024-01-08T20:00Z,222,228,high
2024-01-08T20:30Z,207,226,high
2024-01-08T21:00Z,196,216,high
2024-01-08T21:30Z,186,200,moderate
2024-01-08T22:00Z,188,193,moderate
2024-01-08T22:30Z,176,175,moderate
2024-01-08T23:00Z,172,164,moderate
2024-01-08T23:30Z,167,134,moderate
2024-01-09T00:00Z,170,167,moderate
2024-01-09T00:30Z,174,164,moderate
2024-01-09T01:00Z,173,169,moderate
2024-01-09T01:30Z,171,174,moderate
2024-01-09T02:00Z,170,170,moderate
2024-01-09T02:30Z,165,172,moderate
2024-01-09T03:00Z,164,167,moderate
2024-01-09T03:30Z,165,165,moderate
2024-01-09T04:00Z,173,165,moderate
2024-01-09T04:30Z,172,165,moderate
2024-01-09T05:00Z,179,173,moderate
2024-01-09T05:30Z,188,172,moderate
2024-01-09T06:00Z,203,182,high
2024-01-09T06:30Z,214,204,high
2024-01-09T07:00Z,217,226,high
2024-01-09T07:30Z,220,236,high
2024-01-09T08:00Z,222,215,high
2024-01-09T08:30Z,222,217,high
2024-01-09T09:00Z,222,223,high
2024-01-09T09:30Z,217,222,high
2024-01-09T10:00Z,213,222,high
2024-01-09T10:30Z,208,215,high
2024-01-09T11:00Z,204,213,high
2024-01-09T11:30Z,202,212,high
2024-01-09T12:00Z,203,205,high
2024-01-09T12:30Z,199,203,high
2024-01-09T13:00Z,201,205,high
2024-01-09T13:30Z,205,200,high
2024-01-09T14:00Z,209,204,high
2024-01-09T14:30Z,219,208,high
2024-01-09T15:00Z,226,210,high
2024-01-09T15:30Z,231,224,high
2024-01-09T16:00Z,232,230,high
2024-01-09T16:30Z,236,233,high
2024-01-09T17:00Z,236,231,high
2024-01-09T17:30Z,238,232,high
2024-01-09T18:00Z,241,231,high
2024-01-09T18:30Z,239,234,high
2024-01-09T19:00Z,234,240,high
2024-01-09T19:30Z,240,239,high
2024-01-09T20:00Z,243,233,high
2024-01-09T20:30Z,240,237,high
2024-01-09T21:00Z,239,240,high
2024-01-09T21:30Z,227,236,high
2024-01-09T22:00Z,212,228,high
2024-01-09T22:30Z,201,217,high
2024-01-09T23:00Z,205,199,high
2024-01-09T23:30Z,206,185,high
2024-01-10T00:00Z,211,198,high
2024-01-10T00:30Z,218,186,high
2024-01-10T01:00Z,217,212,high
2024-01-10T01:30Z,218,215,high
2024-01-10T02:00Z,222,212,high
2024-01-10T02:30Z,226,219,high
2024-01-10T03:00Z,228,221,high
2024-01-10T03:30Z,229,224,high
2024-01-10T04:00Z,233,221,high
2024-01-10T04:30Z,233,228,high
2024-01-10T05:00Z,237,234,high
2024-01-10T05:30Z,243,237,high
2024-01-10T06:00Z,251,251,high
2024-01-10T06:30Z,261,273,high
2024-01-10T07:00Z,268,256,high
2024-01-10T07:30Z,266,260,high
2024-01-10T08:00Z,269,266,high
2024-01-10T08:30Z,270,267,very high
2024-01-10T09:00Z,266,267,high
2024-01-10T09:30Z,268,268,high
2024-01-10T10:00Z,265,264,high
2024-01-10T10:30Z,262,268,high
2024-01-10T11:00Z,257,261,high
2024-01-10T11:30Z,252,257,high
2024-01-10T12:00Z,252,253,high
2024-01-10T12:30Z,249,246,high
2024-01-10T13:00Z,249,244,high
2024-01-10T13:30Z,250,250,high
2024-01-10T14:00Z,248,249,high
2024-01-10T14:30Z,250,252,high
2024-01-10T15:00Z,248,251,high
2024-01-10T15:30Z,255,253,high
2024-01-10T16:00Z,250,252,high
2024-01-10T16:30Z,251,253,high
2024-01-10T17:00Z,248,250,high
2024-01-10T17:30Z,247,250,high
2024-01-10T18:00Z,242,245,high
2024-01-10T18:30Z,244,247,high
2024-01-10T19:00Z,257,245,high
2024-01-10T19:30Z,254,247,high
2024-01-10T20:00Z,252,257,high
2024-01-10T20:30Z,252,256,high
2024-01-10T21:00Z,252,253,high
2024-01-10T21:30Z,249,249,high
2024-01-10T22:00Z,246,248,high
2024-01-10T22:30Z,241,241,high
2024-01-10T23:00Z,242,232,high
2024-01-10T23:30Z,242,214,high
2024-01-11T00:00Z,242,204,high
2024-01-11T00:30Z,250,206,high
2024-01-11T01:00Z,251,247,high
2024-01-11T01:30Z,252,251,high
2024-01-11T02:00Z,255,249,high
2024-01-11T02:30Z,256,249,high
2024-01-11T03:00Z,255,253,high
2024-01-11T03:30Z,250,258,high
2024-01-11T04:00Z,249,255,high
2024-01-11T04:30Z,248,252,high
2024-01-11T05:00Z,253,256,high
2024-01-11T05:30Z,250,251,high
2024-01-11T06:00Z,257,264,high
2024-01-11T06:30Z,273,264,very high
2024-01-11T07:00Z,279,263,very high
2024-01-11T07:30Z,283,269,very high
2024-01-11T08:00Z,283,277,very high
2024-01-11T08:30Z,281,287,very high
2024-01-11T09:00Z,275,289,very high
2024-01-11T09:30Z,276,278,very high
2024-01-11T10:00Z,275,274,very high
2024-01-11T10:30Z,273,273,very high
2024-01-11T11:00Z,271,272,very high
2024-01-11T11:30Z,270,270,very high
2024-01-11T12:00Z,270,270,very high
2024-01-11T12:30Z,267,271,high
2024-01-11T13:00Z,259,269,high
2024-01-11T13:30Z,256,264,high
2024-01-11T14:00Z,255,257,high
2024-01-11T14:30Z,253,256,high
2024-01-11T15:00Z,244,257,high
2024-01-11T15:30Z,243,253,high
2024-01-11T16:00Z,253,247,high
2024-01-11T16:30Z,254,241,high
2024-01-11T17:00Z,253,251,high
2024-01-11T17:30Z,254,255,high
2024-01-11T18:00Z,259,251,high
2024-01-11T18:30Z,264,248,high
2024-01-11T19:00Z,266,256,high
2024-01-11T19:30Z,274,263,very high
2024-01-11T20:00Z,283,268,very high
2024-01-11T20:30Z,282,272,very high
2024-01-11T21:00Z,284,280,very high
2024-01-11T21:30Z,278,279,very high
2024-01-11T22:00Z,273,277,very high
2024-01-11T22:30Z,272,268,very high
2024-01-11T23:00Z,270,259,very high
2024-01-11T23:30Z,267,255,high
2024-01-12T00:00Z,267,269,high
2024-01-12T00:30Z,269,265,high
2024-01-12T01:00Z,265,266,high
2024-01-12T01:30Z,260,267,high
2024-01-12T02:00Z,262,261,high
2024-01-12T02:30Z,269,261,high
2024-01-12T03:00Z,275,261,very high
2024-01-12T03:30Z,274,267,very high
2024-01-12T04:00Z,278,275,very high
2024-01-12T04:30Z,280,265,very high
2024-01-12T05:00Z,282,278,very high
2024-01-12T05:30Z,282,285,very high
2024-01-12T06:00Z,291,292,very high
2024-01-12T06:30Z,292,293,very high
2024-01-12T07:00Z,293,300,very high
2024-01-12T07:30Z,294,293,very high
2024-01-12T08:00Z,294,294,very high
2024-01-12T08:30Z,295,294,very high
2024-01-12T09:00Z,292,295,very high
2024-01-12T09:30Z,293,299,very high
2024-01-12T10:00Z,286,294,very high
2024-01-12T10:30Z,285,293,very high
2024-01-12T11:00Z,283,290,very high
2024-01-12T11:30Z,283,287,very high
2024-01-12T12:00Z,282,286,very high
2024-01-12T12:30Z,281,284,very high
2024-01-12T13:00Z,283,283,very high
2024-01-12T13:30Z,284,282,very high
2024-01-12T14:00Z,279,281,very high
2024-01-12T14:30Z,278,284,very high
2024-01-12T15:00Z,276,282,very high
2024-01-12T15:30Z,272,281,very high
2024-01-12T16:00Z,276,276,very high
2024-01-12T16:30Z,271,275,very high
2024-01-12T17:00Z,275,275,very high
2024-01-12T17:30Z,275,268,very high
2024-01-12T18:00Z,277,273,very high
2024-01-12T18:30Z,275,272,very high
2024-01-12T19:00Z,270,276,very high
2024-01-12T19:30Z,275,277,very high
2024-01-12T20:00Z,291,272,very high
2024-01-12T20:30Z,289,271,very high
2024-01-12T21:00Z,285,279,very high
2024-01-12T21:30Z,276,271,very high
2024-01-12T22:00Z,269,279,high
2024-01-12T22:30Z,262,250,high
2024-01-12T23:00Z,238,239,high
2024-01-12T23:30Z,231,248,high
2024-01-13T00:00Z,223,240,high
2024-01-13T00:30Z,219,226,high
2024-01-13T01:00Z,213,229,high
2024-01-13T01:30Z,206,215,high
2024-01-13T02:00Z,201,211,high
2024-01-13T02:30Z,201,199,high
2024-01-13T03:00Z,198,197,high
2024-01-13T03:30Z,193,198,high
2024-01-13T04:00Z,187,192,moderate
2024-01-13T04:30Z,192,193,high
2024-01-13T05:00Z,197,185,high
2024-01-13T05:30Z,202,193,high
2024-01-13T06:00Z,202,205,high
2024-01-13T06:30Z,206,218,high
2024-01-13T07:00Z,218,205,high
2024-01-13T07:30Z,223,216,high
2024-01-13T08:00Z,231,218,high
2024-01-13T08:30Z,235,224,high
2024-01-13T09:00Z,222,228,high
2024-01-13T09:30Z,222,238,high
2024-01-13T10:00Z,221,226,high
2024-01-13T10:30Z,221,219,high
2024-01-13T11:00Z,218,219,high
2024-01-13T11:30Z,218,219,high
2024-01-13T12:00Z,219,216,high
2024-01-13T12:30Z,221,214,high
2024-01-13T13:00Z,223,220,high
2024-01-13T13:30Z,221,221,high
2024-01-13T14:00Z,222,223,high
2024-01-13T14:30Z,231,221,high
2024-01-13T15:00Z,233,220,high
2024-01-13T15:30Z,238,229,high
2024-01-13T16:00Z,239,228,high
