Day,Weekday,Departure Time,SOC on Departure,Arrival Time,SOC on Arrival
1,Monday,07:46,45.0,18:11,37.204982317438116
1,Monday,10:00,37.204982317438116,14:00,33.454982317438116
2,Tuesday,07:58,45.0,17:53,37.39575149473346
2,Tuesday,17:05,37.39575149473346,18:15,28.632365363927796
3,Wednesday,08:14,45.0,17:56,37.21097112216428
3,Wednesday,09:00,37.21097112216428,15:00,33.46097112216428
4,Thursday,07:53,45.0,17:58,37.45385340729612
5,Friday,07:57,45.0,18:10,37.48642929496532
5,Friday,09:00,37.48642929496532,15:00,33.73642929496532
6,Saturday,No trips,45.00,,45.00
7,Sunday,18:33,45.0,19:09,40.543991649693055
8,Monday,07:58,45.0,18:14,37.01109582255508
8,Monday,10:00,37.01109582255508,14:00,33.26109582255508
9,Tuesday,08:10,45.0,17:50,37.72507234175359
9,Tuesday,14:34,37.72507234175359,15:48,28.500913042441866
10,Wednesday,07:52,45.0,18:09,37.41022547565308
10,Wednesday,09:00,37.41022547565308,15:00,33.66022547565308
11,Thursday,08:11,45.0,17:47,38.08955660330526
12,Friday,07:52,45.0,18:13,37.969623901757046
12,Friday,09:00,37.969623901757046,15:00,34.219623901757046
13,Saturday,No trips,45.00,,45.00
14,Sunday,No trips,45.00,,45.00
15,Monday,08:09,45.0,18:11,37.856685052379845
15,Monday,10:00,37.856685052379845,14:00,34.106685052379845
16,Tuesday,07:58,45.0,17:57,37.399293749232164
17,Wednesday,08:07,45.0,18:03,37.20711814510973
17,Wednesday,09:00,37.20711814510973,15:00,33.45711814510973
18,Thursday,08:10,45.0,17:58,36.77079302429392
19,Friday,07:49,45.0,18:03,37.786136436410835
19,Friday,09:00,37.786136436410835,15:00,34.036136436410835
20,Saturday,No trips,45.00,,45.00
21,Sunday,No trips,45.00,,45.00
22,Monday,07:51,45.0,17:46,37.38990913217565
22,Monday,10:00,37.38990913217565,14:00,33.63990913217565
23,Tuesday,07:54,45.0,18:11,37.16752720241256
24,Wednesday,07:45,45.0,18:09,37.97195006603681
24,Wednesday,09:00,37.97195006603681,15:00,34.22195006603681
25,Thursday,08:12,45.0,18:12,37.9441855797583
26,Friday,08:12,45.0,17:49,37.99367177449543
26,Friday,09:00,37.99367177449543,15:00,34.24367177449543
27,Saturday,No trips,45.00,,45.00
28,Sunday,No trips,45.00,,45.00
29,Monday,08:06,45.0,18:10,37.58959559933318
29,Monday,10:00,37.58959559933318,14:00,33.83959559933318
30,Tuesday,08:00,45.0,17:45,37.75930392647147
31,Wednesday,07:56,45.0,18:12,36.88176808677558
31,Wednesday,09:00,36.88176808677558,15:00,33.13176808677558
32,Thursday,07:51,45.0,17:47,37.378519847948546
33,Friday,08:07,45.0,18:01,37.10675643970847
33,Friday,09:00,37.10675643970847,15:00,33.35675643970847
34,Saturday,No trips,45.00,,45.00
35,Sunday,No trips,45.00,,45.00
36,Monday,07:55,45.0,17:49,37.100864329297586
36,Monday,10:00,37.100864329297586,14:00,33.350864329297586
37,Tuesday,07:59,45.0,18:14,37.65421686569046
37,Tuesday,08:20,37.65421686569046,09:46,26.904166712832286
37,Tuesday,10:46,26.904166712832286,12:45,15.0
38,Wednesday,08:00,45.0,17:56,37.75868564227211
38,Wednesday,09:00,37.75868564227211,15:00,34.00868564227211
39,Thursday,07:59,45.0,17:54,37.47716289921795
39,Thursday,18:38,37.47716289921795,20:04,26.646824528801393
40,Friday,08:04,45.0,18:12,37.80562407471551
40,Friday,09:00,37.80562407471551,15:00,34.05562407471551
41,Saturday,No trips,45.00,,45.00
42,Sunday,16:38,45.0,17:55,35.40278529848736
43,Monday,08:07,45.0,17:45,37.41173564591567
43,Monday,10:00,37.41173564591567,14:00,33.66173564591567
44,Tuesday,08:02,45.0,17:57,37.76092877514425
45,Wednesday,07:46,45.0,18:05,37.78340269461635
45,Wednesday,09:00,37.78340269461635,15:00,34.03340269461635
46,Thursday,07:49,45.0,17:47,37.49154219734516
46,Thursday,11:46,37.49154219734516,13:04,27.689136620209112
47,Friday,08:08,45.0,18:14,38.18223431050906
47,Friday,09:00,38.18223431050906,15:00,34.43223431050906
