Day,Weekday,Departure Time,SOC on Departure,Arrival Time,SOC on Arrival
1,Monday,10:00,45.0,14:00,42.75
2,Tuesday,17:36,45.0,18:30,38.257461496428675
3,Wednesday,09:00,45.0,15:00,42.75
4,Thursday,No trips,45.00,,45.00
5,Friday,09:00,45.0,15:00,42.75
6,Saturday,No trips,45.00,,45.00
7,Sunday,No trips,45.00,,45.00
8,Monday,10:00,45.0,14:00,42.75
9,Tuesday,No trips,45.00,,45.00
10,Wednesday,09:00,45.0,15:00,42.75
11,Thursday,No trips,45.00,,45.00
12,Friday,09:00,45.0,15:00,42.75
13,Saturday,No trips,45.00,,45.00
14,Sunday,No trips,45.00,,45.00
15,Monday,10:00,45.0,14:00,42.75
16,Tuesday,No trips,45.00,,45.00
17,Wednesday,09:00,45.0,15:00,42.75
18,Thursday,No trips,45.00,,45.00
19,Friday,09:00,45.0,15:00,42.75
20,Saturday,No trips,45.00,,45.00
21,Sunday,No trips,45.00,,45.00
22,Monday,10:00,45.0,14:00,42.75
23,Tuesday,13:27,45.0,14:02,40.52672205182829
24,Wednesday,09:00,45.0,15:00,42.75
25,Thursday,18:52,45.0,20:42,31.218178066672035
26,Friday,09:00,45.0,15:00,42.75
27,Saturday,No trips,45.00,,45.00
28,Sunday,11:21,45.0,13:08,31.552553012783086
29,Monday,10:00,45.0,14:00,42.75
30,Tuesday,No trips,45.00,,45.00
31,Wednesday,09:00,45.0,15:00,42.75
32,Thursday,No trips,45.00,,45.00
33,Friday,09:00,45.0,15:00,42.75
34,Saturday,No trips,45.00,,45.00
35,Sunday,08:06,45.0,09:23,35.39322784706827
36,Monday,10:00,45.0,14:00,42.75
37,Tuesday,No trips,45.00,,45.00
38,Wednesday,09:00,45.0,15:00,42.75
39,Thursday,No trips,45.00,,45.00
40,Friday,09:00,45.0,15:00,42.75
41,Saturday,No trips,45.00,,45.00
42,Sunday,No trips,45.00,,45.00
43,Monday,10:00,45.0,14:00,42.75
44,Tuesday,No trips,45.00,,45.00
45,Wednesday,09:00,45.0,15:00,42.75
46,Thursday,No trips,45.00,,45.00
47,Friday,09:00,45.0,15:00,42.75
48,Saturday,No trips,45.00,,45.00
49,Sunday,No trips,45.00,,45.00
50,Monday,10:00,45.0,14:00,42.75
51,Tuesday,18:09,45.0,19:13,36.9880476662409
52,Wednesday,09:00,45.0,15:00,42.75
53,Thursday,18:56,45.0,20:17,34.92223300755241
