8	0.864923
9	1.39817
10	1.66321
11	3.73647
12	1.63208
14	0.0262001
8	1.01771
9	1.91903
10	1.99311
11	1.89666
12	3.67015
13	0.294788
4	7.4
5	7.4
6	7.4
7	2.46667
4	7.4
5	7.4
6	7.4
7	2.71333
4	7.4
5	7.4
6	2.71333
4	7.4
5	7.4
6	0.986667
3	7.4
4	7.4
5	7.4
6	2.96
8	0.154295
9	1.71378
10	2.42921
11	2.78873
12	3.20737
13	3.06004
14	0.724792
8	0.587028
9	1.23755
10	2.23432
11	3.70788
12	3.77657
13	3.89306
14	1.83832
3	7.4
4	7.4
5	7.4
6	2.96
3	7.4
4	7.4
5	7.4
6	3.20667
4	7.4
5	7.4
4	7.4
5	7.4
4	7.4
5	7.4
6	7.4
7	2.46667
9	7.4
10	7.4
11	7.4
12	2.22
8	0.31684
10	2.17722
11	2.17659
12	2.12151
13	3.10472
14	1.65241
4	7.4
5	7.4
6	7.4
7	2.46667
18	4.44
5	7.4
6	7.4
7	5.18
3	7.4
4	7.4
5	7.4
6	2.22
7	7.4
8	7.4
9	7.4
10	2.46667
12	0.956191
14	0.0591666
8	0.113546
9	0.908081
10	0.637316
11	1.70795
12	1.50698
13	3.36822
3	7.4
4	7.4
5	7.4
6	2.22
4	7.4
5	7.4
6	7.4
7	3.20667
3	7.4
4	7.4
5	7.4
6	3.20667
8	0.886567
9	2.0146
10	7.4
11	7.4
12	6.66
14	0.635648
8	0.745724
9	2.13904
10	3.13303
11	3.85265
12	4.0665
13	3.84207
14	1.94933
4	7.4
5	7.4
6	7.4
7	3.20667
4	7.4
5	7.4
6	7.4
7	2.96
5	7.4
6	7.4
7	4.93333
4	7.4
5	7.4
6	3.45333
4	7.4
5	7.4
6	7.4
7	1.72667
8	0.848171
9	2.04939
10	3.07571
11	3.71731
12	3.98096
13	4.06168
14	1.438
8	0.788552
9	2.08816
10	2.85505
11	3.72084
12	4.31757
13	4.06625
14	0.445914
3	7.4
4	7.4
5	7.4
6	2.96
3	7.4
4	7.4
5	7.4
6	2.22
4	7.4
5	7.4
6	7.4
7	2.46667
4	7.4
5	7.4
6	7.4
7	3.20667
4	7.4
5	7.4
6	7.4
7	3.20667
8	0.684172
9	2.03701
10	3.00824
11	3.18642
12	3.45908
13	3.28346
14	0.843482
4	7.4
5	7.4
6	7.4
7	2.22
9	0.861239
11	2.22045e-15
12	2.77556e-15
14	1.27676e-15
15	2.498e-16
16	0.0343466
6	7.4
7	2.96
4	7.4
5	7.4
6	2.22
5	7.4
6	7.4
7	5.18
4	7.4
5	7.4
6	4.68667
5	7.4
6	7.4
7	7.4
8	0.744334
9	2.43863
10	2.47255
11	1.66744
12	7.4
13	7.4
14	2.71333
8	0.805634
9	2.14497
10	2.60887
11	3.93542
12	3.84259
13	4.00216
3	7.4
4	7.4
5	7.4
6	2.22
4	7.4
5	7.4
6	7.4
7	3.20667
4	7.4
5	7.4
6	7.4
7	2.46667
3	7.4
4	7.4
5	7.4
6	2.22
4	7.4
5	7.4
6	7.4
7	2.71333
8	0.995914
9	2.15015
10	2.41537
11	2.68436
12	3.67262
13	3.04058
7	7.4
8	7.4
9	7.4
10	3.20667
13	2.56402
14	2.42861e-16
4	7.4
5	7.4
6	7.4
3	7.4
4	7.4
5	7.4
6	2.22
5	7.4
6	7.4
7	6.90667
4	7.4
5	7.4
6	7.4
7	3.20667
8	0.995814
9	1.68665
10	3.2074
11	2.59929
12	3.70526
13	2.88272
14	0.806374
8	0.689363
9	1.39041
10	2.3896
11	2.48663
12	3.07208
13	2.66498
3	7.4
4	7.4
5	7.4
6	2.71333
5	7.4
6	7.4
7	6.41333
4	7.4
5	7.4
6	7.4
7	2.96
6	7.4
7	3.7
5	7.4
6	5.67333
8	0.981469
9	2.16628
10	3.35295
11	4.04614
12	3.84786
13	4.17788
16	7.4
17	0.986667
8	0.485715
9	2.53689
10	3.49283
11	4.31359
12	4.51056
13	4.61744
14	1.35579
4	7.4
5	7.4
6	7.4
7	3.20667
4	7.4
5	7.4
6	7.4
7	3.45333
5	7.4
6	7.4
7	2.71333
6	7.4
7	1.23333
5	7.4
6	6.16667
8	0.918048
9	1.8565
10	2.98661
