Day,Weekday,Departure Time,SOC on Departure,Arrival Time,SOC on Arrival,Distance (km),Travel Time (min),Distance (km),Travel Time (min)
1,Monday,No trips,32.0,,32.0,,
2,Tuesday,No trips,32.0,,32.0,,
3,Wednesday,11:39,48.00,13:17,46.66,8.20,20
4,Thursday,No trips,32.0,,32.0,,
5,Friday,No trips,32.0,,32.0,,
6,Saturday,No trips,32.0,,32.0,,
7,Sunday,No trips,32.0,,32.0,,
8,Monday,No trips,32.0,,32.0,,
9,Tuesday,No trips,32.0,,32.0,,
10,Wednesday,No trips,32.0,,32.0,,
11,Thursday,No trips,32.0,,32.0,,
12,Friday,No trips,32.0,,32.0,,
13,Saturday,12:04,48.00,12:59,47.25,4.59,11
14,Sunday,No trips,32.0,,32.0,,
15,Monday,No trips,32.0,,32.0,,
16,Tuesday,No trips,32.0,,32.0,,
17,Wednesday,No trips,32.0,,32.0,,
18,Thursday,No trips,32.0,,32.0,,
19,Friday,13:26,48.00,14:23,47.22,4.76,11
20,Saturday,No trips,32.0,,32.0,,
21,Sunday,No trips,32.0,,32.0,,
22,Monday,No trips,32.0,,32.0,,
23,Tuesday,No trips,32.0,,32.0,,
24,Wednesday,No trips,32.0,,32.0,,
25,Thursday,No trips,32.0,,32.0,,
26,Friday,No trips,32.0,,32.0,,
27,Saturday,No trips,32.0,,32.0,,
28,Sunday,No trips,32.0,,32.0,,
29,Monday,No trips,32.0,,32.0,,
30,Tuesday,No trips,32.0,,32.0,,
31,Wednesday,12:27,48.00,13:57,46.77,7.49,18
32,Thursday,No trips,32.0,,32.0,,
33,Friday,No trips,32.0,,32.0,,
34,Saturday,No trips,32.0,,32.0,,
35,Sunday,No trips,32.0,,32.0,,
36,Monday,No trips,32.0,,32.0,,
37,Tuesday,No trips,32.0,,32.0,,
38,Wednesday,No trips,32.0,,32.0,,
39,Thursday,12:25,48.00,13:38,47.00,6.09,15
40,Friday,17:27,48.0,18:24,45.6,14.54,35
41,Saturday,No trips,32.0,,32.0,,
42,Sunday,No trips,32.0,,32.0,,
43,Monday,15:43,48.00,17:21,46.66,8.16,20
44,Tuesday,No trips,32.0,,32.0,,
45,Wednesday,No trips,32.0,,32.0,,
46,Thursday,No trips,32.0,,32.0,,
47,Friday,No trips,32.0,,32.0,,
48,Saturday,18:15,48.00,19:24,47.06,5.75,14
49,Sunday,No trips,32.0,,32.0,,
50,Monday,No trips,32.0,,32.0,,
51,Tuesday,No trips,32.0,,32.0,,
52,Wednesday,11:01,48.00,11:32,47.58,2.58,6
53,Thursday,17:54,48.0,19:01,45.7,14.26,34
54,Friday,No trips,32.0,,32.0,,
55,Saturday,No trips,32.0,,32.0,,
56,Sunday,No trips,32.0,,32.0,,
57,Monday,No trips,32.0,,32.0,,
58,Tuesday,No trips,32.0,,32.0,,
59,Wednesday,17:04,48.00,18:05,47.16,5.12,12
60,Thursday,No trips,32.0,,32.0,,
61,Friday,09:34,48.00,11:09,46.70,7.92,19
62,Saturday,No trips,32.0,,32.0,,
63,Sunday,No trips,32.0,,32.0,,
64,Monday,No trips,32.0,,32.0,,
65,Tuesday,No trips,32.0,,32.0,,
66,Wednesday,No trips,32.0,,32.0,,
67,Thursday,No trips,32.0,,32.0,,
68,Friday,No trips,32.0,,32.0,,
69,Saturday,No trips,32.0,,32.0,,
70,Sunday,19:20,48.00,21:00,46.62,8.40,20
71,Monday,No trips,32.0,,32.0,,
72,Tuesday,No trips,32.0,,32.0,,
73,Wednesday,14:05,48.00,15:50,46.56,8.79,21
74,Thursday,No trips,32.0,,32.0,,
75,Friday,No trips,32.0,,32.0,,
76,Saturday,No trips,32.0,,32.0,,
77,Sunday,No trips,32.0,,32.0,,
78,Monday,No trips,32.0,,32.0,,
79,Tuesday,No trips,32.0,,32.0,,
80,Wednesday,No trips,32.0,,32.0,,
81,Thursday,No trips,32.0,,32.0,,
82,Friday,No trips,32.0,,32.0,,
83,Saturday,No trips,32.0,,32.0,,
84,Sunday,No trips,32.0,,32.0,,
85,Monday,No trips,32.0,,32.0,,
86,Tuesday,No trips,32.0,,32.0,,
87,Wednesday,13:46,48.00,14:51,47.10,5.47,13
88,Thursday,No trips,32.0,,32.0,,
89,Friday,No trips,32.0,,32.0,,
90,Saturday,No trips,32.0,,32.0,,
91,Sunday,17:20,48.00,19:16,46.41,9.70,23
92,Monday,No trips,32.0,,32.0,,
93,Tuesday,No trips,32.0,,32.0,,
